hdate,hwind,hpres,hyear
19570715,75,800,1957
19570716,75,800,1957
19570717,75,800,1957
19570718,75,800,1957
19570719,75,800,1957
19570720,75,800,1957
19570721,75,800,1957
19570722,75,800,1957
19570723,75,800,1957
19570724,75,800,1957
19570725,75,800,1957
19570726,75,800,1957
19570806,50,800,1957
19570807,45,800,1957
19570808,60,994,1957
19570809,75,800,1957
19570810,75,1004,1957
19570811,75,800,1957
19570812,75,800,1957
19570813,90,987,1957
19570814,90,800,1957
19570815,75,800,1957
19570816,45,800,1957
19570901,45,800,1957
19570902,45,800,1957
19570903,45,800,1957
19570904,75,800,1957
19570905,75,800,1957
19570906,75,800,1957
19570907,75,800,1957
19570908,75,800,1957
19570909,80,800,1957
19570910,100,800,1957
19570911,100,800,1957
19570912,110,800,1957
19570917,75,800,1957
19570918,75,800,1957
19570920,45,800,1957
19570921,45,800,1957
19570922,45,800,1957
19570923,45,800,1957
19570925,45,800,1957
19570926,45,800,1957
19570927,45,800,1957
19570928,25,800,1957
19571001,75,800,1957
19571002,75,800,1957
19571003,75,800,1957
19571004,75,800,1957
19571005,75,800,1957
19571006,20,800,1957
19571017,75,800,1957
19571018,75,800,1957
19571019,75,800,1957
19571020,75,800,1957
19571021,120,800,1957
19571022,120,800,1957
19571129,45,800,1957
19571130,75,800,1957
19571201,75,800,1957
19571202,75,800,1957
19571203,75,800,1957
19571204,75,800,1957
19571205,75,800,1957
19571206,45,800,1957
19580606,75,800,1958
19580607,75,992,1958
19580608,75,800,1958
19580609,75,800,1958
19580610,75,800,1958
19580611,75,800,1958
19580612,75,800,1958
19580613,75,800,1958
19580614,75,800,1958
19580615,75,800,1958
19580616,25,800,1958
19580719,75,800,1958
19580720,75,800,1958
19580721,75,800,1958
19580722,75,800,1958
19580723,75,800,1958
19580724,75,800,1958
19580725,75,800,1958
19580726,45,800,1958
19580727,45,800,1958
19580728,45,800,1958
19580729,45,800,1958
19580730,45,800,1958
19580731,45,800,1958
19580801,45,800,1958
19580807,45,800,1958
19580808,25,800,1958
19580809,25,800,1958
19580813,45,800,1958
19580814,45,800,1958
19580906,75,800,1958
19580907,75,800,1958
19580908,90,800,1958
19580909,75,800,1958
19580910,75,800,1958
19580911,75,800,1958
19580912,75,800,1958
19580913,75,800,1958
19580930,75,800,1958
19581001,75,800,1958
19581002,75,800,1958
19581003,75,800,1958
19581004,75,800,1958
19581005,75,800,1958
19581006,20,800,1958
19581014,45,800,1958
19581015,45,800,1958
19581016,45,800,1958
19581017,45,800,1958
19581029,45,800,1958
19581030,45,800,1958
19590610,45,800,1959
19590611,45,800,1959
19590612,45,800,1959
19590626,45,800,1959
19590627,45,800,1959
19590628,45,800,1959
19590716,45,800,1959
19590717,45,800,1959
19590718,45,800,1959
19590719,45,800,1959
19590720,45,800,1959
19590721,45,800,1959
19590722,45,800,1959
19590723,45,800,1959
19590724,45,800,1959
19590725,45,800,1959
19590729,45,800,1959
19590730,45,800,1959
19590801,60,800,1959
19590802,120,800,1959
19590803,130,952,1959
19590804,120,800,1959
19590805,120,800,1959
19590806,110,800,1959
19590807,80,800,1959
19590808,45,800,1959
19590819,45,800,1959
19590820,45,800,1959
19590821,45,800,1959
19590827,45,800,1959
19590828,45,800,1959
19590829,45,800,1959
19590904,75,800,1959
19590905,75,800,1959
19590906,150,800,1959
19590907,120,800,1959
19590908,120,800,1959
19590909,90,800,1959
19590910,75,800,1959
19590911,75,800,1959
19590921,75,800,1959
19590922,75,800,1959
19590923,75,800,1959
19590924,75,967,1959
19590925,75,800,1959
19590926,75,800,1959
19590927,60,800,1959
19591019,45,800,1959
19591020,45,800,1959
19591021,45,800,1959
19591023,75,800,1959
19591024,75,800,1959
19591025,110,800,1959
19591026,120,800,1959
19591027,140,958,1959
19591028,45,800,1959
19591029,25,800,1959
19600609,45,800,1960
19600610,45,800,1960
19600611,45,800,1960
19600612,45,800,1960
19600622,45,800,1960
19600623,45,800,1960
19600624,45,800,1960
19600625,45,800,1960
19600626,45,800,1960
19600720,75,800,1960
19600721,75,800,1960
19600722,75,800,1960
19600817,75,800,1960
19600818,75,987,1960
19600819,75,800,1960
19600820,75,800,1960
19600829,75,800,1960
19600830,75,800,1960
19600831,75,800,1960
19600901,75,800,1960
19600902,75,800,1960
19600903,75,800,1960
19600904,75,800,1960
19600905,75,800,1960
19600906,75,800,1960
19600907,75,800,1960
19600908,75,800,1960
19600909,75,800,1960
19601021,75,800,1960
19601022,75,800,1960
19601023,75,800,1960
19610609,75,800,1961
19610610,75,800,1961
19610611,75,800,1961
19610612,25,800,1961
19610710,45,800,1961
19610711,45,800,1961
19610712,45,800,1961
19610714,45,800,1961
19610715,45,800,1961
19610716,45,800,1961
19610717,45,800,1961
19610718,45,800,1961
19610719,45,800,1961
19610804,45,800,1961
19610805,45,800,1961
19610906,45,800,1961
19610907,45,800,1961
19610908,45,800,1961
19610909,45,800,1961
19610910,45,800,1961
19610911,45,800,1961
19611003,45,800,1961
19611004,45,800,1961
19611101,45,800,1961
19611102,45,800,1961
19611103,25,800,1961
19611110,75,800,1961
19611111,75,800,1961
19611112,75,800,1961
19620624,75,800,1962
19620625,75,800,1962
19620626,75,800,1962
19620708,45,800,1962
19620709,45,800,1962
19620710,45,800,1962
19620816,45,800,1962
19620817,45,800,1962
19620818,45,800,1962
19620819,45,800,1962
19620820,45,800,1962
19620821,45,800,1962
19620822,45,800,1962
19620829,45,800,1962
19620830,45,800,1962
19620831,25,800,1962
19620901,25,800,1962
19620902,45,800,1962
19620903,45,800,1962
19620904,45,800,1962
19620905,45,800,1962
19620906,45,800,1962
19620920,45,800,1962
19620921,45,800,1962
19620922,45,800,1962
19620923,45,800,1962
19620924,45,800,1962
19620926,45,800,1962
19620927,45,800,1962
19620928,45,800,1962
19620929,45,800,1962
19620930,45,800,1962
19621001,75,800,1962
19621002,75,800,1962
19621003,75,800,1962
19621004,75,800,1962
19621005,25,800,1962
19630629,75,800,1963
19630630,75,800,1963
19630714,75,800,1963
19630715,75,800,1963
19630716,75,800,1963
19630717,75,800,1963
19630719,75,800,1963
19630720,75,800,1963
19630721,75,800,1963
19630802,25,800,1963
19630803,25,800,1963
19630804,25,800,1963
19630805,25,800,1963
19630806,45,800,1963
19630807,45,800,1963
19630808,45,800,1963
19630909,45,800,1963
19630910,45,800,1963
19630911,45,800,1963
19630912,45,800,1963
19630913,45,800,1963
19630914,45,800,1963
19630915,45,800,1963
19630916,45,800,1963
19630917,45,800,1963
19630918,45,800,1963
19630919,25,800,1963
19630920,25,800,1963
19630921,25,800,1963
19630924,45,800,1963
19630925,45,800,1963
19630926,45,800,1963
19630927,45,800,1963
19630928,45,800,1963
19630929,45,800,1963
19631017,75,800,1963
19631018,75,800,1963
19631019,75,800,1963
19640706,45,800,1964
19640707,45,800,1964
19640708,20,800,1964
19640715,75,800,1964
19640716,75,800,1964
19640717,75,800,1964
19640718,75,800,1964
19640719,75,800,1964
19640720,45,800,1964
19640721,45,800,1964
19640722,45,800,1964
19640723,45,800,1964
19640724,45,800,1964
19640821,45,800,1964
19640822,45,800,1964
19640907,45,800,1964
19640908,45,800,1964
19640909,45,800,1964
19650604,25,800,1965
19650605,45,800,1965
19650606,45,800,1965
19650607,45,800,1965
19650617,45,800,1965
19650618,45,800,1965
19650629,45,800,1965
19650630,45,800,1965
19650701,45,800,1965
19650702,45,800,1965
19650703,45,800,1965
19650704,45,800,1965
19650705,45,800,1965
19650706,45,800,1965
19650707,45,800,1965
19650708,45,800,1965
19650807,25,800,1965
19650808,45,800,1965
19650809,45,800,1965
19650810,45,800,1965
19650811,35,800,1965
19650821,45,800,1965
19650822,45,800,1965
19650823,45,800,1965
19650824,45,800,1965
19650825,45,800,1965
19650826,45,800,1965
19650827,45,800,1965
19650828,45,800,1965
19650829,45,800,1965
19650830,45,800,1965
19650831,80,800,1965
19650901,75,800,1965
19650902,45,800,1965
19650903,45,800,1965
19650904,25,800,1965
19650905,25,800,1965
19650906,25,800,1965
19650908,25,800,1965
19650909,45,800,1965
19650910,45,800,1965
19650911,45,800,1965
19650912,25,800,1965
19650913,45,800,1965
19650914,45,800,1965
19650915,45,800,1965
19650916,45,800,1965
19650917,45,800,1965
19650918,45,800,1965
19650919,45,800,1965
19650920,45,800,1965
19650921,45,800,1965
19650922,45,800,1965
19650924,45,800,1965
19650925,45,800,1965
19650926,45,800,1965
19650927,45,800,1965
19660620,25,800,1966
19660621,45,800,1966
19660622,45,800,1966
19660623,75,800,1966
19660624,75,800,1966
19660803,45,800,1966
19660804,45,800,1966
19660805,75,800,1966
19660806,45,800,1966
19660807,45,800,1966
19660808,45,800,1966
19660809,45,800,1966
19660810,45,800,1966
19660811,45,800,1966
19660812,45,800,1966
19660813,75,800,1966
19660814,75,800,1966
19660815,75,800,1966
19660816,45,800,1966
19660817,45,800,1966
19660818,75,800,1966
19660819,75,800,1966
19660820,45,800,1966
19660821,45,800,1966
19660822,45,800,1966
19660823,45,800,1966
19660824,45,800,1966
19660825,45,800,1966
19660826,75,800,1966
19660827,75,800,1966
19660828,45,800,1966
19660829,25,800,1966
19660906,75,800,1966
19660907,75,800,1966
19660908,75,800,1966
19660909,75,800,1966
19660910,45,800,1966
19660911,45,800,1966
19660912,75,800,1966
19660913,75,800,1966
19660914,75,800,1966
19660915,45,800,1966
19660916,25,800,1966
19660917,25,800,1966
19660918,45,800,1966
19660919,25,800,1966
19660920,25,800,1966
19660926,25,800,1966
19660927,25,800,1966
19660928,45,800,1966
19660929,45,800,1966
19661004,45,800,1966
19661005,45,800,1966
19661016,25,800,1966
19661017,25,800,1966
19661018,45,800,1966
19661019,45,800,1966
19670607,45,800,1967
19670608,45,800,1967
19670609,45,800,1967
19670610,45,800,1967
19670616,40,800,1967
19670623,45,800,1967
19670624,75,800,1967
19670625,75,800,1967
19670626,45,800,1967
19670706,25,800,1967
19670707,25,800,1967
19670708,25,800,1967
19670709,45,800,1967
19670710,45,800,1967
19670711,45,800,1967
19670712,45,800,1967
19670713,45,800,1967
19670714,55,800,1967
19670715,55,800,1967
19670716,25,800,1967
19670717,25,800,1967
19670718,25,800,1967
19670719,25,800,1967
19670720,25,800,1967
19670721,25,800,1967
19670722,25,800,1967
19670724,45,800,1967
19670725,45,800,1967
19670726,45,800,1967
19670727,45,800,1967
19670728,45,800,1967
19670729,45,800,1967
19670730,45,800,1967
19670812,45,800,1967
19670813,45,800,1967
19670814,60,800,1967
19670815,45,800,1967
19670816,45,800,1967
19670817,45,800,1967
19670818,60,800,1967
19670819,75,800,1967
19670820,45,800,1967
19670821,45,800,1967
19670822,45,800,1967
19670830,45,800,1967
19670831,75,800,1967
19670901,75,800,1967
19670902,75,800,1967
19670903,20,800,1967
19670905,45,800,1967
19670906,75,800,1967
19670907,75,800,1967
19670908,75,800,1967
19670909,65,800,1967
19670910,55,800,1967
19670911,65,800,1967
19670912,55,800,1967
19670913,60,800,1967
19670914,90,800,1967
19670915,110,800,1967
19670916,130,933,1967
19670917,110,800,1967
19670918,100,800,1967
19670919,90,800,1967
19670920,80,800,1967
19670921,70,800,1967
19670922,70,800,1967
19671006,25,800,1967
19671007,25,800,1967
19671008,25,800,1967
19671009,45,800,1967
19671010,45,800,1967
19671011,45,800,1967
19671012,45,800,1967
19671013,75,800,1967
19671014,110,800,1967
19671015,45,800,1967
19671016,75,800,1967
19671017,75,800,1967
19671018,75,800,1967
19671019,45,800,1967
19671020,45,800,1967
19671021,25,800,1967
19671022,45,800,1967
19671023,45,800,1967
19671024,45,800,1967
19671025,25,800,1967
19671026,25,800,1967
19671027,25,800,1967
19671028,25,800,1967
19671029,45,800,1967
19671030,45,800,1967
19671031,45,800,1967
19671101,45,800,1967
19671102,45,800,1967
19671103,45,800,1967
19680620,45,800,1968
19680621,45,800,1968
19680622,25,800,1968
19680704,45,800,1968
19680705,45,800,1968
19680706,45,800,1968
19680707,45,800,1968
19680708,25,800,1968
19680709,25,800,1968
19680715,45,800,1968
19680716,45,800,1968
19680717,45,800,1968
19680718,45,800,1968
19680719,45,800,1968
19680720,45,800,1968
19680721,45,800,1968
19680722,45,800,1968
19680723,45,800,1968
19680724,45,800,1968
19680725,45,800,1968
19680726,25,800,1968
19680727,25,800,1968
19680728,25,800,1968
19680729,25,800,1968
19680730,25,800,1968
19680731,25,800,1968
19680805,25,800,1968
19680806,45,800,1968
19680807,45,800,1968
19680808,75,800,1968
19680809,75,800,1968
19680810,45,800,1968
19680811,45,800,1968
19680812,45,800,1968
19680813,45,800,1968
19680814,25,800,1968
19680815,25,800,1968
19680817,45,800,1968
